MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016
G[Del(C):R1]G	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0
G[Del(C):R1]T	0	2	0	3	1	1	0	1	1	2	2	1	4	0	1	0	0	1	0	1
G[Del(C):R2]A	0	1	0	1	3	0	2	2	1	0	2	0	2	1	1	2	1	0	0	2
G[Del(C):R2]G	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R2]T	0	1	1	1	1	0	0	0	0	1	0	0	4	3	1	0	0	0	0	1
G[Del(C):R3]A	1	0	1	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0
G[Del(C):R3]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
G[Del(C):R3]T	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R4]A	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
G[Del(C):R4]G	0	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
G[Del(C):R4]T	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0
G[Del(C):R5]A	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R5]T	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R6]A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
G[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
G[Del(C):R7]A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]A	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	1	2	0	8	2	1	0	3	3	9	4	2	6	8	1	1	0	1	3	4
T[Del(C):R1]G	2	0	0	0	1	0	1	0	0	0	0	0	3	1	0	1	0	0	0	1
T[Del(C):R1]T	0	4	4	7	9	0	1	5	3	6	2	9	13	9	2	2	2	4	5	7
T[Del(C):R2]A	2	1	2	1	3	1	1	0	0	2	3	1	1	2	1	1	0	1	0	1
T[Del(C):R2]G	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
T[Del(C):R2]T	2	1	3	4	2	2	3	3	2	3	0	3	6	1	1	3	2	2	1	2
T[Del(C):R3]A	0	0	1	2	0	0	0	0	1	4	0	0	2	0	0	0	1	0	0	0
T[Del(C):R3]G	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
T[Del(C):R3]T	0	0	1	2	0	0	2	0	3	2	0	1	0	0	0	0	0	0	1	1
T[Del(C):R4]A	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0
T[Del(C):R4]G	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R4]T	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
T[Del(C):R5]A	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0
T[Del(C):R5]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R5]T	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R6]A	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0
T[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
T[Del(C):R6]T	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R7]A	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	1	3	0	2	1	0	1	2	1	2	3	1	1	3	2	3	1	2	1	3
A[Del(T):R1]C	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
A[Del(T):R1]G	1	0	0	0	1	0	0	2	1	2	0	0	1	1	1	0	0	1	0	0
A[Del(T):R2]A	1	2	1	1	1	1	1	1	0	0	0	1	0	4	0	0	0	2	0	0
A[Del(T):R2]C	1	0	2	0	0	0	0	0	1	1	1	0	3	0	0	0	0	2	0	0
A[Del(T):R2]G	0	1	0	1	1	0	1	1	0	0	0	1	0	2	1	0	0	2	0	1
A[Del(T):R3]A	0	0	0	1	2	1	1	1	3	0	2	0	1	2	0	1	3	0	1	2
A[Del(T):R3]C	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	2	1	0	1
A[Del(T):R3]G	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
A[Del(T):R4]A	0	1	2	2	1	1	0	1	0	0	0	1	1	6	0	0	2	1	0	0
A[Del(T):R4]C	1	2	2	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0
A[Del(T):R4]G	0	0	1	0	0	1	1	1	0	1	0	2	0	0	1	0	1	0	0	1
A[Del(T):R5]A	1	1	2	0	0	0	3	0	3	1	1	0	0	1	1	1	0	2	0	1
A[Del(T):R5]C	0	0	1	0	2	0	0	0	4	0	0	1	1	1	0	1	1	1	1	0
A[Del(T):R5]G	0	1	0	0	0	0	1	0	2	1	1	3	2	0	1	0	0	1	2	0
A[Del(T):R6]A	3	1	3	0	1	3	5	1	4	1	1	0	2	2	1	0	1	3	1	0
A[Del(T):R6]C	2	1	2	1	2	0	2	0	1	3	0	1	2	3	0	2	0	1	2	0
A[Del(T):R6]G	1	1	2	0	2	0	1	0	4	2	0	0	0	1	0	2	1	1	2	2
A[Del(T):R7]A	3	2	3	1	1	0	5	0	7	1	3	1	0	13	3	3	1	2	3	1
A[Del(T):R7]C	1	5	2	6	2	0	0	0	4	4	0	2	1	4	2	0	0	3	2	0
A[Del(T):R7]G	6	4	6	0	3	2	2	0	4	0	2	1	2	2	2	0	0	0	0	1
A[Del(T):R8]A	4	1	6	2	3	4	8	2	5	3	9	0	3	2	2	1	1	3	3	1
A[Del(T):R8]C	2	1	8	7	1	0	5	2	3	3	3	1	5	3	0	1	1	10	1	3
A[Del(T):R8]G	2	2	1	0	0	0	5	1	0	1	3	0	1	4	1	1	1	2	1	2
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	0	1	1	0	0	1	0	0	0	1	0	0	1	4	0	1	0	0	2	1
C[Del(T):R1]C	0	1	1	2	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0
C[Del(T):R1]G	2	0	0	1	0	2	1	2	1	0	1	1	1	1	5	0	2	3	2	1
C[Del(T):R2]A	1	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	0	1	0	0
C[Del(T):R2]C	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0
C[Del(T):R2]G	0	0	1	0	0	0	0	1	1	0	0	2	1	1	0	0	1	0	2	0
C[Del(T):R3]A	3	1	0	2	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0
C[Del(T):R3]C	2	0	0	1	0	1	1	1	0	0	2	0	0	0	1	0	0	1	1	1
C[Del(T):R3]G	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
C[Del(T):R4]A	0	1	1	0	1	2	1	0	0	0	0	1	0	2	2	0	0	1	0	0
C[Del(T):R4]C	1	1	1	0	1	1	2	0	3	1	1	0	1	0	0	1	1	1	1	0
C[Del(T):R4]G	0	0	2	1	0	1	0	2	1	0	0	1	0	3	1	0	1	0	1	1
C[Del(T):R5]A	0	0	0	1	1	0	0	0	0	0	1	0	2	2	1	0	0	0	1	0
C[Del(T):R5]C	0	0	1	0	1	0	1	1	0	0	0	2	0	1	2	2	1	1	0	2
C[Del(T):R5]G	0	1	0	0	1	0	0	0	1	0	1	0	3	1	2	1	0	1	0	0
C[Del(T):R6]A	1	1	1	2	0	1	2	0	0	2	0	0	1	1	2	0	0	1	0	1
C[Del(T):R6]C	0	1	1	1	1	0	2	1	2	0	0	1	0	2	0	0	0	1	0	0
C[Del(T):R6]G	0	0	0	1	0	2	1	0	1	0	0	0	1	1	1	1	0	1	0	0
C[Del(T):R7]A	1	2	3	3	0	2	3	1	1	0	2	0	1	3	2	0	0	5	1	2
C[Del(T):R7]C	1	1	6	1	0	0	2	0	2	1	1	2	1	3	0	0	0	0	0	1
C[Del(T):R7]G	0	1	0	0	2	0	2	0	0	0	1	1	0	2	0	1	0	0	0	0
C[Del(T):R8]A	1	1	5	3	0	1	5	0	4	2	0	3	0	5	1	0	1	5	0	0
C[Del(T):R8]C	1	0	7	3	2	3	3	0	3	3	0	0	1	4	2	0	0	1	1	0
C[Del(T):R8]G	1	1	3	1	0	1	4	1	0	0	0	0	0	1	0	0	2	3	0	0
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0
G[Del(T):R1]C	0	1	0	1	0	2	1	1	1	0	1	0	0	1	0	0	0	0	1	0
G[Del(T):R1]G	2	0	0	1	1	1	1	2	1	1	3	1	1	1	2	0	0	0	0	0
G[Del(T):R2]A	0	0	0	2	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0
G[Del(T):R2]C	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R2]G	0	1	1	1	0	0	1	0	0	1	2	0	1	0	1	0	0	2	0	1
G[Del(T):R3]A	1	0	1	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	1	1
G[Del(T):R3]C	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	0	1
G[Del(T):R3]G	0	1	0	2	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	1
G[Del(T):R4]A	1	0	0	0	0	0	0	3	1	2	0	0	1	1	0	0	1	0	0	0
G[Del(T):R4]C	0	0	0	0	2	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0
G[Del(T):R4]G	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
G[Del(T):R5]A	0	0	0	4	2	0	1	1	1	1	0	0	0	3	1	1	0	1	0	0
G[Del(T):R5]C	0	0	2	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1
G[Del(T):R5]G	2	0	4	2	0	1	1	0	4	0	0	1	1	3	1	0	1	1	0	0
G[Del(T):R6]A	0	0	2	0	1	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0
G[Del(T):R6]C	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0
G[Del(T):R6]G	0	0	1	1	2	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0
G[Del(T):R7]A	0	0	2	1	0	1	0	0	1	0	1	1	1	1	0	0	0	2	0	0
G[Del(T):R7]C	1	1	2	2	0	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0
G[Del(T):R7]G	0	1	1	0	1	0	1	0	3	0	0	0	0	0	1	0	0	1	0	1
G[Del(T):R8]A	0	0	1	0	1	1	0	0	2	0	1	0	2	0	2	1	0	1	1	0
G[Del(T):R8]C	0	0	4	1	1	0	4	0	3	1	0	0	1	2	0	0	2	1	0	0
G[Del(T):R8]G	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	1	0	2	1	2	0	0	0	2	1	0	1	1	0	0	1	0	0	1	0
A[Ins(C):R0]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]T	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A[Ins(C):R1]A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1
A[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A[Ins(C):R1]T	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
A[Ins(C):R2]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R2]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R2]T	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A[Ins(C):R3]A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Ins(C):R3]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R3]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R4]A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
A[Ins(C):R4]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Ins(C):R4]T	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R5]A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
A[Ins(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R5]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R6]A	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
A[Ins(C):R6]G	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R7]A	3	0	0	2	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0
A[Ins(C):R7]G	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R7]T	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A[Ins(C):R8]A	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0
A[Ins(C):R8]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R8]T	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
G[Ins(C):R1]A	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
G[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R1]T	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R2]A	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
G[Ins(C):R2]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R2]T	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0
G[Ins(C):R3]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R3]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R3]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
G[Ins(C):R5]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R5]T	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G[Ins(C):R6]A	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0
G[Ins(C):R6]G	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
G[Ins(C):R6]T	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R7]A	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1
G[Ins(C):R7]G	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
G[Ins(C):R7]T	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
G[Ins(C):R8]A	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2
G[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R0]A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R0]G	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R0]T	2	3	1	2	0	1	2	0	1	0	2	1	0	1	0	0	0	0	0	0
T[Ins(C):R1]A	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R1]T	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
T[Ins(C):R2]A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R2]G	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
T[Ins(C):R2]T	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
T[Ins(C):R3]A	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
T[Ins(C):R3]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R3]T	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
T[Ins(C):R4]A	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	1
T[Ins(C):R4]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
T[Ins(C):R4]T	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
T[Ins(C):R5]A	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R5]T	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
T[Ins(C):R6]A	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
T[Ins(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R6]T	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R7]A	1	0	2	1	1	0	0	1	1	0	0	0	1	2	1	1	0	1	0	0
T[Ins(C):R7]G	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
T[Ins(C):R7]T	0	0	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
T[Ins(C):R8]A	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R8]T	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A[Ins(T):R0]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A[Ins(T):R0]G	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
A[Ins(T):R1]A	1	2	1	0	0	0	0	1	0	0	1	1	2	2	0	1	0	0	0	1
A[Ins(T):R1]C	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Ins(T):R1]G	0	0	0	0	0	0	0	0	1	0	1	2	3	0	0	0	0	2	1	1
A[Ins(T):R2]A	2	0	0	1	0	1	0	0	0	1	1	0	0	2	0	1	0	0	0	0
A[Ins(T):R2]C	0	0	0	0	0	0	2	0	1	1	1	0	1	1	0	0	0	1	0	0
A[Ins(T):R2]G	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
